2026-06-08 13:08:48 | INFO     | trading_bot.client | API request: GET /fapi/v1/ping
2026-06-08 13:08:48 | DEBUG    | trading_bot.client | Request params: {}
2026-06-08 13:08:49 | DEBUG    | trading_bot.client | Response [200]: {}
2026-06-08 13:08:49 | INFO     | trading_bot.client | API success: GET /fapi/v1/ping -> HTTP 200
2026-06-08 13:08:49 | INFO     | trading_bot.client | API request: GET /fapi/v1/time
2026-06-08 13:08:49 | DEBUG    | trading_bot.client | Request params: {}
2026-06-08 13:08:49 | DEBUG    | trading_bot.client | Response [200]: {'serverTime': 1780904328141}
2026-06-08 13:08:49 | INFO     | trading_bot.client | API success: GET /fapi/v1/time -> HTTP 200
2026-06-08 13:08:49 | INFO     | trading_bot.client | Clock offset to Binance: -1202 ms
2026-06-08 13:08:49 | INFO     | trading_bot.client | API request: GET /fapi/v2/balance
2026-06-08 13:08:49 | DEBUG    | trading_bot.client | Request params: {'timestamp': 1780904328141, 'recvWindow': 5000, 'signature': '***REDACTED***'}
